市区町村コード,市区町村名,総65歳以上人口,居住125mメッシュ数,高齢者密度_人per_km2,圏外65歳以上人口_変種A,圏外率_変種A,圏外65歳以上人口_supermarketのみ,圏外65歳以上人口_変種C125,圏外率_変種C125,農水省_困難人口割合,農水省_困難人口,比_農水省÷変種A,比_農水省÷変種C125
11301,伊奈町,10819,673,1029.0,4224,0.3904,9533,1736,0.1605,0.2785,3042.0,0.713,1.736
10524,大泉町,9402,713,844.0,3669,0.3902,6761,1154,0.1227,0.2014,1906.0,0.516,1.641
12220,流山市,46082,1717,1718.0,17952,0.3896,33029,5923,0.1285,0.2396,11035.0,0.615,1.864
14214,伊勢原市,26784,1492,1149.0,10398,0.3882,20788,3401,0.127,0.3344,8888.0,0.861,2.633
47209,名護市,13870,1502,591.0,5344,0.3853,10132,2249,0.1621,0.311,4323.0,0.807,1.918
27213,泉佐野市,26160,1339,1250.0,10059,0.3845,17855,2742,0.1048,0.3105,8146.0,0.808,2.963
13364,神津島村,587,60,626.0,225,0.3833,437,70,0.1193,0.37,217.0,0.965,3.103
26322,久御山町,4944,301,1051.0,1894,0.3831,3810,588,0.1189,0.1849,902.0,0.483,1.555
27230,交野市,21844,713,1961.0,8354,0.3824,15597,2918,0.1336,0.2934,6331.0,0.767,2.196
13212,日野市,45579,1359,2146.0,17392,0.3816,34385,1799,0.0395,0.3353,15308.0,0.879,8.496
43100,熊本市,190945,11140,1097.0,72620,0.3803,136828,29311,0.1535,0.2587,49423.0,0.68,1.685
23222,東海市,24993,1336,1197.0,9480,0.3793,20020,1339,0.0536,0.2849,7125.0,0.751,5.318
14206,小田原市,56609,2575,1407.0,21467,0.3792,41229,7846,0.1386,0.3081,17437.0,0.813,2.223
23210,刈谷市,31081,1908,1043.0,11724,0.3772,25513,2411,0.0776,0.3024,9382.0,0.802,3.898
14212,厚木市,57346,2761,1329.0,21601,0.3767,44213,8158,0.1423,0.3142,18075.0,0.834,2.209
46201,鹿児島市,158614,9563,1062.0,59428,0.3747,114352,27732,0.1748,0.2647,42036.0,0.707,1.514
27210,枚方市,109847,2599,2705.0,41145,0.3746,80082,7928,0.0722,0.2809,30979.0,0.75,3.892
11243,吉川市,17377,1094,1017.0,6496,0.3738,12140,2573,0.1481,0.2698,4672.0,0.722,1.822
29424,上牧町,7558,261,1853.0,2824,0.3736,6265,335,0.0443,0.3247,2527.0,0.869,7.326
47313,宜野座村,1486,276,345.0,554,0.3728,1132,277,0.1864,0.2457,366.0,0.659,1.318
14201,横須賀市,124472,3742,2129.0,46159,0.3708,90322,11073,0.089,0.3557,44364.0,0.959,3.998
19210,甲斐市,18972,1448,839.0,7025,0.3703,15996,1548,0.0816,0.2279,4351.0,0.616,2.794
47324,読谷村,9050,633,915.0,3345,0.3696,5846,612,0.0676,0.1616,1462.0,0.437,2.389
47350,南風原町,8054,446,1156.0,2971,0.3689,6670,954,0.1185,0.1999,1571.0,0.542,1.687
11233,北本市,21141,945,1432.0,7775,0.3678,14539,1743,0.0824,0.217,4596.0,0.59,2.632
12217,柏市,110252,4056,1740.0,40477,0.3671,78653,7466,0.0677,0.2639,29082.0,0.719,3.897
22203,沼津市,60360,2812,1374.0,22152,0.367,43534,7918,0.1312,0.2608,15774.0,0.711,1.988
11214,春日部市,68772,2802,1571.0,25127,0.3654,49003,6090,0.0886,0.2424,16645.0,0.663,2.738
39201,高知市,95899,5172,1187.0,35009,0.3651,72699,15184,0.1583,0.2081,19955.0,0.57,1.314
