市区町村コード,市区町村名,総人口,総65歳以上人口,居住125mメッシュ数,高齢者密度_人per_km2,道路距離対象_65歳以上人口,道路距離対象_総人口,圏外65歳以上人口,圏外率,圏外総人口,圏外率_総人口,スーパー圏外65歳以上人口,スーパー圏外率,農水省_困難人口割合,農水省_困難人口,比_農水省÷本推計
24471,大紀町,7816,3934,680,370.0,3934,7816,3672,0.9334,7282,0.9317,3768,0.9578,0.3313,1303.0,0.355
20562,木島平村,4438,1764,358,315.0,1764,4438,1645,0.9325,4130,0.9306,1715,0.9722,0.2087,368.0,0.224
07503,平田村,5826,2076,1050,127.0,2076,5826,1935,0.9321,5295,0.9089,2013,0.9697,0.1532,315.0,0.164
14402,清川村,3020,1125,145,497.0,1125,3020,1047,0.9307,2750,0.9106,1125,1.0,0.2838,321.0,0.305
02323,深浦町,7056,3605,538,429.0,3593,7018,3339,0.9293,6579,0.9374,3367,0.9371,0.5266,1962.0,0.567
07402,北塩原村,2551,944,236,256.0,944,2551,877,0.929,2296,0.9,944,1.0,0.2341,222.0,0.252
46501,中種子町,7511,2956,1019,186.0,2953,7487,2743,0.9289,6735,0.8996,2816,0.9536,0.4522,1342.0,0.487
06403,飯豊町,6626,2572,755,218.0,2572,6626,2389,0.9288,6058,0.9143,2488,0.9673,0.1965,502.0,0.212
30392,日高川町,9183,3369,879,245.0,3369,9183,3128,0.9285,8461,0.9214,3273,0.9715,0.3742,1268.0,0.403
31386,大山町,15328,6184,1069,370.0,6184,15328,5740,0.9282,14010,0.914,5977,0.9665,0.2596,1608.0,0.28
06365,大蔵村,3019,1180,253,298.0,1180,3019,1095,0.928,2816,0.9328,1095,0.928,0.2358,280.0,0.254
21382,輪之内町,9728,2601,497,335.0,2601,9728,2413,0.9277,8790,0.9036,2437,0.9369,0.2608,671.0,0.281
20349,青木村,4102,1617,359,288.0,1617,4102,1500,0.9276,3696,0.901,1617,1.0,0.2048,333.0,0.221
29444,黒滝村,623,345,108,204.0,345,623,320,0.9275,587,0.9422,345,1.0,0.3614,124.0,0.39
15581,関川村,5139,2213,415,341.0,2213,5139,2052,0.9272,4732,0.9208,2213,1.0,0.2041,453.0,0.22
34462,世羅町,15121,6329,2158,188.0,6329,15121,5865,0.9267,13797,0.9124,6275,0.9915,0.2708,1717.0,0.292
39424,大月町,4298,2146,559,246.0,2146,4297,1987,0.9259,3814,0.8876,2021,0.9418,0.3136,682.0,0.339
07362,下郷町,5264,2355,446,338.0,2355,5264,2180,0.9257,4750,0.9024,2355,1.0,0.2986,705.0,0.323
20590,飯綱町,10306,4223,802,337.0,4223,10306,3908,0.9254,9619,0.9333,4002,0.9477,0.1881,787.0,0.203
22304,南伊豆町,7853,3871,783,316.0,3871,7852,3582,0.9253,7280,0.9272,3679,0.9504,0.436,1689.0,0.471
04324,川崎町,8341,3213,851,242.0,3213,8341,2972,0.925,7623,0.9139,3130,0.9742,0.2015,647.0,0.218
32449,邑南町,10166,4584,1565,187.0,4584,10166,4236,0.9241,9113,0.8964,4347,0.9483,0.3778,1731.0,0.409
30382,日高町,7584,2257,499,289.0,2257,7584,2085,0.9238,6839,0.9018,2160,0.957,0.3843,890.0,0.416
20583,信濃町,7738,3398,849,256.0,3398,7738,3137,0.9232,7156,0.9248,3357,0.9879,0.2421,827.0,0.262
40522,大木町,13902,4130,667,396.0,4130,13902,3811,0.9228,12511,0.8999,3982,0.9642,0.2989,1206.0,0.324
20350,長和町,5605,2388,511,299.0,2388,5605,2203,0.9225,5166,0.9217,2388,1.0,0.2271,540.0,0.246
45404,木城町,4873,1829,413,283.0,1829,4873,1687,0.9224,4317,0.8859,1829,1.0,0.2631,479.0,0.285
03301,雫石町,15862,6128,1600,245.0,6128,15862,5651,0.9222,14759,0.9305,5933,0.9682,0.1908,1160.0,0.207
