市区町村コード,市区町村名,総65歳以上人口,圏外65歳以上人口_変種A,圏外率_変種A,圏外65歳以上人口_supermarketのみ,圏外65歳以上人口_変種C125,圏外率_変種C125,農水省_困難人口割合,農水省_困難人口,比_農水省÷変種A,比_農水省÷変種C125
45429,諸塚村,676,652,0.9645,676,651,0.963,0.3496,237.0,0.362,0.363
24443,大台町,3750,3616,0.9643,3616,3236,0.8629,0.2928,1100.0,0.304,0.339
45431,美郷町,2484,2394,0.9638,2394,2332,0.9388,0.3332,829.0,0.346,0.355
33666,美咲町,5419,5222,0.9636,5306,5103,0.9417,0.3205,1737.0,0.333,0.34
39344,大豊町,1897,1828,0.9636,1828,1744,0.9193,0.4295,819.0,0.446,0.467
21502,富加町,1813,1746,0.963,1804,1395,0.7694,0.2516,457.0,0.261,0.327
45443,五ヶ瀬町,1532,1475,0.9628,1507,1360,0.8877,0.2665,397.0,0.277,0.3
10448,昭和村,2277,2192,0.9627,2277,1914,0.8406,0.2238,511.0,0.232,0.266
20386,中川村,1663,1600,0.9621,1663,1389,0.8352,0.1748,293.0,0.182,0.209
32525,海士町,893,859,0.9619,859,839,0.9395,0.5541,501.0,0.576,0.59
28442,市川町,4186,4023,0.9611,4088,3889,0.929,0.3714,1554.0,0.386,0.4
03301,雫石町,6128,5889,0.961,5981,4954,0.8084,0.1908,1160.0,0.199,0.236
36368,那賀町,3809,3660,0.9609,3766,3480,0.9136,0.3784,1441.0,0.394,0.414
07564,飯舘村,758,728,0.9604,758,683,0.9011,0.0413,31.0,0.043,0.046
12347,多古町,4954,4755,0.9598,4904,4447,0.8977,0.1534,782.0,0.16,0.171
31389,南部町,3893,3727,0.9574,3830,3273,0.8407,0.2442,947.0,0.255,0.29
39411,津野町,2390,2287,0.9569,2390,2221,0.9293,0.2385,570.0,0.249,0.257
43484,津奈木町,1752,1676,0.9566,1676,1580,0.9018,0.308,551.0,0.322,0.342
10428,高山村,1309,1252,0.9565,1309,1207,0.9221,0.1767,230.0,0.185,0.192
20543,高山村,2456,2349,0.9564,2456,2210,0.8998,0.1607,392.0,0.168,0.179
34431,大崎上島町,3244,3101,0.9559,3101,2944,0.9075,0.4577,1513.0,0.479,0.504
30424,古座川町,1373,1312,0.9556,1312,1202,0.8755,0.4862,666.0,0.509,0.555
09384,塩谷町,4187,4001,0.9556,4086,3728,0.8904,0.2133,887.0,0.223,0.24
01645,豊頃町,1226,1171,0.9551,1171,1152,0.9396,0.249,297.0,0.261,0.265
33606,鏡野町,4680,4468,0.9547,4563,4163,0.8895,0.3014,1409.0,0.316,0.339
34462,世羅町,6329,6033,0.9532,6297,5406,0.8542,0.2708,1717.0,0.284,0.317
08447,河内町,3223,3072,0.9531,3178,2764,0.8576,0.2164,698.0,0.227,0.252
20305,南牧村,997,950,0.9529,963,856,0.8586,0.137,136.0,0.144,0.16
38442,伊方町,3934,3748,0.9527,3783,3469,0.8818,0.4479,1782.0,0.47,0.508
45405,川南町,5361,5100,0.9513,5147,4745,0.8851,0.2324,1261.0,0.244,0.263
20486,小谷村,1024,974,0.9512,983,883,0.8623,0.293,297.0,0.308,0.34
21507,東白川村,906,861,0.9503,861,715,0.7892,0.3138,286.0,0.33,0.398
