市区町村コード,市区町村名,総65歳以上人口,居住125mメッシュ数,高齢者密度_人per_km2,圏外65歳以上人口_変種A,圏外率_変種A,圏外65歳以上人口_supermarketのみ,圏外65歳以上人口_変種C125,圏外率_変種C125,農水省_困難人口割合,農水省_困難人口,比_農水省÷変種A,比_農水省÷変種C125
04321,大河原町,6568,628,669.0,3185,0.4849,5701,1040,0.1583,0.2221,1448.0,0.458,1.403
21303,笠松町,6177,430,919.0,2989,0.4839,5666,1139,0.1844,0.2755,1711.0,0.569,1.494
27226,藤井寺市,18089,447,2590.0,8754,0.4839,13589,1483,0.082,0.2282,4125.0,0.472,2.784
11442,宮代町,10986,681,1032.0,5278,0.4804,8686,2793,0.2542,0.3567,3914.0,0.742,1.403
11217,鴻巣市,35100,2221,1011.0,16794,0.4785,26418,5752,0.1639,0.2264,7921.0,0.473,1.381
19210,甲斐市,18972,1448,839.0,9073,0.4782,15996,2763,0.1456,0.2279,4351.0,0.477,1.565
23207,豊川市,48233,3671,841.0,23059,0.4781,39562,10987,0.2278,0.2578,12437.0,0.539,1.132
36401,松茂町,3933,374,673.0,1872,0.476,3621,1210,0.3077,0.2406,942.0,0.506,0.782
23202,岡崎市,89481,6064,944.0,42469,0.4746,71656,18738,0.2094,0.2479,22234.0,0.522,1.184
09201,宇都宮市,129846,10922,761.0,61596,0.4744,105141,29121,0.2243,0.2517,32690.0,0.531,1.122
14211,秦野市,48499,2144,1448.0,23003,0.4743,41014,9635,0.1987,0.3148,15274.0,0.664,1.585
23223,大府市,20034,1330,964.0,9475,0.4729,16531,2053,0.1025,0.3143,6262.0,0.664,3.067
26210,八幡市,22215,745,1908.0,10493,0.4723,15890,3483,0.1568,0.321,7079.0,0.68,2.047
44201,大分市,129205,8161,1013.0,60948,0.4717,95797,25005,0.1935,0.2332,30154.0,0.494,1.205
01217,江別市,36730,2112,1113.0,17319,0.4715,31424,4317,0.1175,0.3083,11339.0,0.654,2.623
47209,名護市,13870,1502,591.0,6538,0.4714,10132,3095,0.2231,0.311,4323.0,0.66,1.394
21201,岐阜市,113095,6868,1054.0,53256,0.4709,92465,23479,0.2076,0.2678,30286.0,0.569,1.29
34302,府中町,12404,353,2249.0,5832,0.4702,8070,2037,0.1642,0.1899,2387.0,0.404,1.157
03201,盛岡市,79978,6480,790.0,37584,0.4699,61300,17537,0.2193,0.2474,19800.0,0.526,1.128
06201,山形市,72247,4787,966.0,33870,0.4688,54386,14395,0.1992,0.2307,16688.0,0.492,1.158
01206,釧路市,56425,3354,1077.0,26237,0.465,47872,9909,0.1756,0.2608,14696.0,0.561,1.485
27229,四條畷市,15053,438,2200.0,6998,0.4649,12207,2645,0.1757,0.3177,4813.0,0.683,1.808
40221,太宰府市,20153,883,1461.0,9348,0.4639,13705,2371,0.1176,0.34,6912.0,0.733,2.89
26211,京田辺市,17358,863,1287.0,8051,0.4638,13203,3221,0.1856,0.3264,5650.0,0.704,1.759
15100,新潟市,230965,13976,1058.0,107104,0.4637,182842,52104,0.2256,0.2081,48067.0,0.449,0.922
12228,四街道市,27037,1284,1348.0,12512,0.4628,22332,5756,0.2129,0.2598,7032.0,0.561,1.22
40343,志免町,10818,450,1539.0,5004,0.4626,7102,1892,0.1749,0.2475,2731.0,0.535,1.415
23219,小牧市,37196,2346,1015.0,17179,0.4619,29552,5302,0.1425,0.2593,9637.0,0.562,1.819
12232,白井市,17147,1069,1027.0,7913,0.4615,11470,3602,0.2101,0.2234,3821.0,0.484,1.064
30201,和歌山市,110078,5650,1247.0,50510,0.4589,84208,19810,0.18,0.2791,30689.0,0.608,1.551
30361,湯浅町,4071,344,757.0,1866,0.4584,2340,913,0.2243,0.2765,1131.0,0.603,1.233
36201,徳島市,70792,5014,904.0,32347,0.4569,54275,15662,0.2212,0.2929,20740.0,0.641,1.324
27341,忠岡町,4852,154,2016.0,2216,0.4567,4486,132,0.0272,0.2965,1417.0,0.649,10.899
12222,我孫子市,39966,1347,1899.0,18228,0.4561,32359,5600,0.1401,0.3239,12917.0,0.71,2.312
19202,富士吉田市,13998,1084,826.0,6385,0.4561,10228,1615,0.1154,0.2177,3049.0,0.477,1.887
26207,城陽市,25175,700,2302.0,11463,0.4553,18932,2425,0.0963,0.3223,8091.0,0.708,3.346
01204,旭川市,112383,6807,1057.0,51142,0.4551,87986,14040,0.1249,0.2485,27929.0,0.546,1.989
14204,鎌倉市,53513,1885,1817.0,24249,0.4531,38662,8936,0.167,0.3989,21290.0,0.88,2.389
23208,津島市,18394,1182,996.0,8322,0.4524,14693,4059,0.2207,0.2801,5125.0,0.619,1.269
14301,葉山町,10094,529,1221.0,4553,0.4511,6417,1542,0.1528,0.3953,3981.0,0.876,2.588
23227,高浜市,8885,579,982.0,4008,0.4511,7645,252,0.0284,0.2295,2042.0,0.509,8.093
47324,読谷村,9050,633,915.0,4077,0.4505,5846,1607,0.1776,0.1616,1462.0,0.359,0.91
40345,新宮町,6344,418,971.0,2854,0.4499,5193,1185,0.1868,0.239,1440.0,0.531,1.28
11239,坂戸市,29196,1528,1223.0,13090,0.4483,21321,6805,0.2331,0.2347,6908.0,0.523,1.007
28214,宝塚市,63676,1932,2109.0,28484,0.4473,46662,15249,0.2395,0.2985,19010.0,0.667,1.246
34309,坂町,3724,241,989.0,1654,0.4441,2205,1117,0.2999,0.3251,1208.0,0.732,1.084
14321,寒川町,13145,582,1445.0,5806,0.4417,9776,1527,0.1162,0.3347,4434.0,0.758,2.881
23214,蒲郡市,23414,1522,985.0,10278,0.439,19080,4721,0.2016,0.2866,6709.0,0.653,1.422
39201,高知市,95899,5172,1187.0,41789,0.4358,72699,20759,0.2165,0.2081,19955.0,0.477,0.961
27219,和泉市,46892,2008,1495.0,20411,0.4353,38019,7841,0.1672,0.315,14803.0,0.724,1.884
46201,鹿児島市,158614,9563,1062.0,69021,0.4352,114352,35193,0.2219,0.2647,42036.0,0.608,1.193
23425,蟹江町,9539,537,1137.0,4145,0.4345,6515,983,0.1031,0.2492,2360.0,0.573,2.418
23212,安城市,39580,3033,835.0,17162,0.4336,30745,6369,0.1609,0.2569,10147.0,0.592,1.596
14384,湯河原町,9946,486,1310.0,4310,0.4333,7159,2368,0.2381,0.3204,3191.0,0.739,1.346
11225,入間市,42899,1577,1741.0,18572,0.4329,29932,4173,0.0973,0.238,10217.0,0.55,2.447
11324,三芳町,11643,495,1505.0,5009,0.4302,7683,1474,0.1266,0.1969,2270.0,0.458,1.555
